Function,Best Solution,Best Fitness,Execution Time,Step Size,Domain,Iterations,Result,Domain_left,Domain_right,Domain_range,Domain_quantile,Step_Size_quantile
rastrigin,"[0.0, -0.995]",0.99496,0.002,0.4,"[-1.3456, 1.9389]",211,bad,-1.3456,1.9389,3.2845,3,2
rastrigin,"[0.0002, -0.7184]",12.48891,0.002,0.4,"[-0.7184, 2.0214]",211,bad,-0.7184,2.0214,2.7398,2,2
rastrigin,"[-2.9849, -2.9847]",17.90921,0.0076,0.7,"[-3.5093, 0.4056]",753,bad,-3.5093,0.4056,3.9149000000000003,4,5
rastrigin,"[0.995, 0.0]",0.99496,0.002,0.3,"[-1.1734, 1.2924]",240,bad,-1.1734,1.2924,2.4657999999999998,1,1
rastrigin,"[-0.995, 0.0]",0.99496,0.002,1.0,"[-2.0345, 4.8705]",221,bad,-2.0345,4.8705,6.904999999999999,11,8
rastrigin,"[-0.995, -0.995]",1.98992,0.0016,0.8,"[-4.5535, 4.3158]",172,bad,-4.5535,4.3158,8.869299999999999,14,6
rastrigin,"[-2.9849, -0.995]",9.94956,0.005,0.1,"[-3.5404, 0.6663]",461,bad,-3.5404,0.6663,4.2067,5,0
rastrigin,"[-3.9798, -3.9798]",31.83849,0.001,0.7,"[-4.6889, 3.9891]",167,bad,-4.6889,3.9891,8.678,14,5
rastrigin,"[0.0, -0.995]",0.99496,0.0023,0.1,"[-1.8327, 0.2214]",248,bad,-1.8327,0.2214,2.0541,1,0
rastrigin,"[0.0, 1.9899]",3.97983,0.005,0.5,"[-4.1061, 4.6293]",515,bad,-4.1061,4.6293,8.735399999999998,14,3
rastrigin,"[1.9899, -0.995]",4.97479,0.0096,0.7,"[-3.9152, 3.7426]",894,bad,-3.9152,3.7426,7.6578,13,5
rastrigin,"[1.9899, 2.9849]",12.93443,0.003,0.9,"[-2.56, 3.3023]",347,bad,-2.56,3.3023,5.862299999999999,9,7
rastrigin,"[0.995, 0.0]",0.99496,0.0045,1.0,"[-0.4825, 2.8223]",362,bad,-0.4825,2.8223,3.3047999999999997,3,8
rastrigin,"[2.9849, 1.9899]",12.93443,0.002,0.3,"[-0.897, 4.0349]",196,bad,-0.897,4.0349,4.931900000000001,7,1
rastrigin,"[-0.995, -2.9849]",9.94956,0.004,0.7,"[-3.8121, 0.7832]",411,bad,-3.8121,0.7832,4.5953,6,5
rastrigin,"[-0.995, -0.0]",0.99496,0.003,0.8,"[-1.977, 0.1433]",327,bad,-1.977,0.1433,2.1203000000000003,1,6
rastrigin,"[1.9899, 1.9899]",7.95966,0.002,0.4,"[-1.8448, 2.9932]",213,bad,-1.8448,2.9932,4.838,6,2
rastrigin,"[-2.9849, -1.9899]",12.93443,0.0025,0.8,"[-4.1128, 0.2357]",267,bad,-4.1128,0.2357,4.3485,5,6
rastrigin,"[0.995, 2.9849]",9.94956,0.0021,0.1,"[-2.8352, 4.0522]",180,bad,-2.8352,4.0522,6.8873999999999995,11,0
rastrigin,"[1.9801, 3.9715]",19.93156,0.0106,0.7,"[-0.1376, 4.8166]",999,good,-0.1376,4.8166,4.9542,7,5
rastrigin,"[0.0031, -0.0053]",0.00751,0.0,0.9,"[-1.7578, 1.2358]",11,good,-1.7578,1.2358,2.9936,2,7
rastrigin,"[-0.995, -2.9849]",9.94956,0.003,0.4,"[-4.7922, 0.4346]",295,bad,-4.7922,0.4346,5.2268,7,2
rastrigin,"[0.004, 0.0025]",0.00433,0.0,0.8,"[-3.2246, 2.8982]",30,good,-3.2246,2.8982,6.1228,9,6
rastrigin,"[-1.9899, 0.7929]",11.9437,0.001,0.5,"[-2.3027, 0.7929]",135,bad,-2.3027,0.7929,3.0956,3,3
rastrigin,"[-0.0, -1.9899]",3.97983,0.0045,0.5,"[-2.8567, 3.913]",362,bad,-2.8567,3.913,6.7697,11,3
rastrigin,"[-0.995, -2.9849]",9.94956,0.002,0.4,"[-4.7817, 3.9214]",246,bad,-4.7817,3.9214,8.7031,14,2
rastrigin,"[0.995, 1.9899]",4.97479,0.002,0.4,"[-2.241, 3.8597]",240,bad,-2.241,3.8597,6.1007,9,2
rastrigin,"[2.9849, -0.0]",8.9546,0.002,0.7,"[-3.2796, 3.8455]",205,bad,-3.2796,3.8455,7.1251,11,5
rastrigin,"[-3.9798, -1.9899]",19.89907,0.0025,1.0,"[-4.4191, 0.8439]",251,bad,-4.4191,0.8439,5.263,7,8
rastrigin,"[-1.9899, -0.995]",4.97479,0.003,0.3,"[-2.4428, 1.78]",314,bad,-2.4428,1.78,4.2228,5,1
rastrigin,"[-1.9899, 0.995]",4.97479,0.007,0.1,"[-3.6256, 2.5062]",659,bad,-3.6256,2.5062,6.1318,9,0
rastrigin,"[-2.9849, -0.995]",9.94956,0.0036,0.9,"[-3.9097, 1.407]",218,bad,-3.9097,1.407,5.3167,7,7
rastrigin,"[-2.9691, -2.9691]",18.00683,0.0015,0.1,"[-2.9691, 0.4811]",64,bad,-2.9691,0.4811,3.4502,3,0
rastrigin,"[-0.995, 0.0]",0.99496,0.0081,0.5,"[-4.2502, 3.3837]",832,bad,-4.2502,3.3837,7.633900000000001,13,3
rastrigin,"[-0.995, 0.995]",1.98992,0.0025,0.9,"[-1.347, 2.7476]",192,bad,-1.347,2.7476,4.0946,5,7
rastrigin,"[-3.9798, -3.9798]",31.83849,0.004,0.4,"[-4.589, 1.0383]",296,bad,-4.589,1.0383,5.6273,8,2
rastrigin,"[-2.9849, -0.0]",8.9546,0.0026,0.4,"[-4.1142, 0.0865]",224,bad,-4.1142,0.0865,4.2007,5,2
rastrigin,"[0.0, 0.995]",0.99496,0.006,0.8,"[-0.3573, 1.2802]",577,bad,-0.3573,1.2802,1.6375,0,6
rastrigin,"[0.0, 0.995]",0.99496,0.0032,0.7,"[-1.0471, 1.7763]",239,bad,-1.0471,1.7763,2.8234,2,5
rastrigin,"[-0.0, 1.9899]",3.97983,0.003,0.7,"[-1.2951, 4.1782]",257,bad,-1.2951,4.1782,5.4733,8,5
rastrigin,"[-0.9092, -0.015]",2.45385,0.002,0.9,"[-0.9092, 1.4413]",221,bad,-0.9092,1.4413,2.3505000000000003,1,7
rastrigin,"[-0.0, 0.995]",0.99496,0.0035,1.0,"[-0.0883, 1.4705]",356,bad,-0.0883,1.4705,1.5588,0,8
rastrigin,"[2.9849, 0.995]",9.94956,0.004,0.6,"[-0.2824, 3.6592]",365,bad,-0.2824,3.6592,3.9415999999999998,4,4
rastrigin,"[0.0045, 0.0027]",0.0055,0.0,0.9,"[-3.3859, 3.7607]",24,good,-3.3859,3.7607,7.146599999999999,12,7
rastrigin,"[-0.995, -0.995]",1.98992,0.002,0.7,"[-3.1726, 0.424]",193,bad,-3.1726,0.424,3.5966,3,5
rastrigin,"[-0.0, -1.9899]",3.97983,0.003,0.4,"[-3.2746, 1.5308]",251,bad,-3.2746,1.5308,4.8054,6,2
rastrigin,"[-0.995, -1.9899]",4.97479,0.005,0.4,"[-2.3998, 0.197]",439,bad,-2.3998,0.197,2.5968,2,2
rastrigin,"[-0.0, -1.9899]",3.97983,0.003,0.6,"[-2.4461, 4.9456]",264,bad,-2.4461,4.9456,7.3917,12,4
rastrigin,"[-0.995, -0.995]",1.98992,0.004,0.2,"[-3.4533, 1.8454]",396,bad,-3.4533,1.8454,5.2987,7,0
rastrigin,"[-1.9899, -0.995]",4.97479,0.0035,0.3,"[-2.6203, 0.325]",280,bad,-2.6203,0.325,2.9453,2,1
himmelblau,"[2.5655, 2.31]",5.25787,0.002,0.8,"[-2.8946, 2.5655]",254,bad,-2.8946,2.5655,5.460100000000001,8,6
himmelblau,"[-3.7706, -3.2763]",0.0048,0.001,0.2,"[-4.5769, 1.1782]",108,good,-4.5769,1.1782,5.7551000000000005,8,0
himmelblau,"[-3.7726, -3.2695]",0.00828,0.0,0.2,"[-4.5447, 2.668]",104,good,-4.5447,2.668,7.2127,12,0
himmelblau,"[2.9925, 2.026]",0.00977,0.001,0.6,"[-2.5127, 4.4382]",61,good,-2.5127,4.4382,6.950900000000001,11,4
himmelblau,"[-2.5152, 3.2464]",3.0853,0.002,0.7,"[-2.5152, 4.8495]",277,bad,-2.5152,4.8495,7.3647,12,5
himmelblau,"[2.3937, 2.0136]",10.90954,0.002,0.3,"[-4.0407, 2.3937]",273,bad,-4.0407,2.3937,6.4344,10,1
himmelblau,"[-2.5696, -2.5696]",57.33396,0.001,0.2,"[-2.5696, 1.6982]",83,bad,-2.5696,1.6982,4.267799999999999,5,0
himmelblau,"[2.0041, -2.2766]",85.78535,0.002,0.2,"[-4.9648, 2.0041]",293,bad,-4.9648,2.0041,6.9689000000000005,11,0
himmelblau,"[0.3578, 0.3578]",152.98458,0.001,1.0,"[-1.1787, 0.3578]",59,bad,-1.1787,0.3578,1.5365000000000002,0,8
himmelblau,"[-3.7741, -3.2696]",0.0077,0.0,1.0,"[-3.9254, 0.1411]",87,good,-3.9254,0.1411,4.0665,4,8
himmelblau,"[-3.7854, -3.2763]",0.0054,0.0,1.0,"[-3.8609, 3.5775]",32,good,-3.8609,3.5775,7.4384,12,8
himmelblau,"[-3.7755, -3.2764]",0.00216,0.0065,0.3,"[-4.41, 0.6235]",854,good,-4.41,0.6235,5.0335,7,1
himmelblau,"[-2.8102, 3.146]",0.00945,0.001,0.6,"[-3.285, 3.6145]",108,good,-3.285,3.6145,6.8995,11,4
himmelblau,"[-2.8283, 1.8783]",40.95273,0.0016,0.2,"[-4.4536, 1.8783]",204,bad,-4.4536,1.8783,6.3319,10,0
himmelblau,"[1.1043, 1.1043]",97.14233,0.0,1.0,"[-3.2561, 1.1043]",59,bad,-3.2561,1.1043,4.3604,5,8
himmelblau,"[-3.7614, -3.278]",0.01706,0.002,0.6,"[-3.7614, 0.563]",300,bad,-3.7614,0.563,4.3244,5,4
himmelblau,"[2.6982, -1.6363]",31.32792,0.002,0.6,"[-4.1656, 2.6982]",210,bad,-4.1656,2.6982,6.8638,11,4
himmelblau,"[-3.7852, -3.2918]",0.0039,0.001,0.2,"[-4.8835, 2.7486]",154,good,-4.8835,2.7486,7.632099999999999,13,0
himmelblau,"[3.5789, -1.8242]",0.00895,0.004,0.7,"[-3.1714, 4.5209]",457,good,-3.1714,4.5209,7.6923,13,5
himmelblau,"[2.1703, 0.3635]",57.18928,0.003,0.1,"[-2.7009, 2.1703]",355,bad,-2.7009,2.1703,4.8712,7,0
himmelblau,"[1.9791, 1.9791]",27.26947,0.001,0.9,"[-0.4721, 1.9791]",73,bad,-0.4721,1.9791,2.4512,1,7
himmelblau,"[3.5953, -1.8397]",0.00793,0.001,0.1,"[-4.6258, 4.2322]",33,good,-4.6258,4.2322,8.858,14,0
himmelblau,"[2.3435, 2.3123]",10.68967,0.001,1.0,"[-1.9899, 2.3435]",173,bad,-1.9899,2.3435,4.3334,5,8
himmelblau,"[-2.5453, 1.1187]",80.3657,0.002,0.9,"[-2.8649, 1.1187]",252,bad,-2.8649,1.1187,3.9836,4,7
himmelblau,"[-3.0204, -3.0204]",24.79314,0.007,0.3,"[-3.0204, 1.7882]",932,bad,-3.0204,1.7882,4.8086,6,1
himmelblau,"[3.0043, 1.98]",0.00569,0.002,0.3,"[-1.0211, 3.7939]",220,good,-1.0211,3.7939,4.8149999999999995,6,1
himmelblau,"[-2.7549, 3.1315]",0.08039,0.0016,0.7,"[-2.7549, 3.6582]",185,bad,-2.7549,3.6582,6.4131,10,5
himmelblau,"[3.001, 2.0093]",0.00171,0.0011,0.4,"[-1.022, 3.7993]",87,good,-1.022,3.7993,4.8213,6,2
himmelblau,"[1.2899, 1.2899]",81.11759,0.0,0.8,"[-0.3863, 1.2899]",68,bad,-0.3863,1.2899,1.6762000000000001,0,6
himmelblau,"[3.0115, 1.9799]",0.00712,0.001,0.6,"[-0.5373, 4.8369]",95,good,-0.5373,4.8369,5.3742,8,4
himmelblau,"[-1.1369, 0.3051]",153.10494,0.001,0.3,"[-1.1369, 0.3051]",71,bad,-1.1369,0.3051,1.442,0,1
himmelblau,"[-1.8391, 0.0866]",134.71347,0.0015,0.4,"[-1.8391, 1.2428]",228,bad,-1.8391,1.2428,3.0819,2,2
himmelblau,"[-1.042, 0.2177]",157.93587,0.0011,0.7,"[-1.042, 0.2177]",57,bad,-1.042,0.2177,1.2597,0,5
himmelblau,"[2.9901, 2.0212]",0.00711,0.001,0.5,"[-4.2967, 3.4848]",110,good,-4.2967,3.4848,7.7815,13,3
himmelblau,"[-3.7723, -3.2685]",0.00946,0.001,0.1,"[-4.4358, 4.6095]",90,good,-4.4358,4.6095,9.045300000000001,14,0
himmelblau,"[2.9928, 2.0261]",0.00991,0.0021,0.8,"[-1.9032, 4.5533]",203,good,-1.9032,4.5533,6.4565,10,6
himmelblau,"[-1.4961, 2.0508]",63.4414,0.0,1.0,"[-1.4961, 2.0508]",53,bad,-1.4961,2.0508,3.5469,3,8
himmelblau,"[-3.7873, -3.2759]",0.00769,0.0,0.1,"[-4.2773, 0.2906]",82,good,-4.2773,0.2906,4.567900000000001,6,0
himmelblau,"[3.4522, -2.0428]",1.65603,0.002,0.7,"[-3.8182, 3.4522]",344,bad,-3.8182,3.4522,7.2704,12,5
himmelblau,"[1.3246, 1.3246]",78.11068,0.0011,0.7,"[-0.2888, 1.3246]",57,bad,-0.2888,1.3246,1.6134,0,5
himmelblau,"[1.8534, 1.8534]",35.55191,0.001,0.9,"[-0.5573, 1.8534]",56,bad,-0.5573,1.8534,2.4107,1,7
himmelblau,"[-3.7688, -3.2825]",0.00619,0.0,0.5,"[-4.0158, 1.2364]",33,good,-4.0158,1.2364,5.252199999999999,7,3
himmelblau,"[3.0167, 1.9843]",0.00931,0.001,0.8,"[-0.8821, 4.4032]",76,good,-0.8821,4.4032,5.2853,7,6
himmelblau,"[-2.8093, 3.1299]",0.00066,0.0,0.8,"[-3.386, 3.8004]",40,good,-3.386,3.8004,7.1864,12,6
himmelblau,"[2.7768, -1.3696]",27.21426,0.002,0.7,"[-3.374, 2.7768]",244,bad,-3.374,2.7768,6.1508,9,5
himmelblau,"[-2.5577, -2.5577]",58.31552,0.0,0.9,"[-2.5577, 0.2366]",59,bad,-2.5577,0.2366,2.7943000000000002,2,7
himmelblau,"[2.9956, 1.9843]",0.00625,0.0,0.4,"[-1.6881, 4.2846]",27,good,-1.6881,4.2846,5.9727,9,2
himmelblau,"[3.5339, -1.2295]",3.8873,0.001,0.2,"[-1.2295, 4.5022]",206,bad,-1.2295,4.5022,5.7317,8,0
himmelblau,"[-3.7795, -3.2846]",8e-05,0.001,0.2,"[-4.011, 0.4082]",210,good,-4.011,0.4082,4.4192,6,0
himmelblau,"[3.0106, 2.0057]",0.0059,0.0,0.7,"[-2.1732, 4.7677]",21,good,-2.1732,4.7677,6.940899999999999,11,5
himmelblau,"[3.0099, 1.9761]",0.00853,0.001,0.2,"[-0.8387, 4.8007]",127,good,-0.8387,4.8007,5.6394,8,0
himmelblau,"[3.0157, 1.9841]",0.00845,0.0,0.7,"[-4.4557, 3.1653]",14,good,-4.4557,3.1653,7.621,13,5
himmelblau,"[-2.3711, 3.0305]",5.5458,0.0021,0.7,"[-2.3711, 4.9766]",253,bad,-2.3711,4.9766,7.347700000000001,12,5
himmelblau,"[2.3232, 2.3203]",11.27291,0.002,1.0,"[-4.9739, 2.3232]",164,bad,-4.9739,2.3232,7.2971,12,8
himmelblau,"[2.2797, 1.7553]",19.07257,0.002,0.3,"[-2.3949, 2.2797]",330,bad,-2.3949,2.2797,4.6746,6,1
himmelblau,"[-3.2691, -2.4872]",24.51124,0.004,0.3,"[-3.2691, 3.9397]",596,bad,-3.2691,3.9397,7.2088,12,1
himmelblau,"[3.5228, -1.082]",5.42719,0.001,0.5,"[-1.082, 4.2607]",200,bad,-1.082,4.2607,5.3427,7,3
himmelblau,"[-0.8137, 0.4056]",157.15931,0.003,0.4,"[-1.1034, 0.4056]",307,bad,-1.1034,0.4056,1.509,0,2
himmelblau,"[2.9959, 2.0172]",0.00426,0.0,0.4,"[-0.827, 3.1161]",41,good,-0.827,3.1161,3.9431,4,2
himmelblau,"[-3.7891, -3.2799]",0.00694,0.0026,0.5,"[-4.9765, 0.4031]",355,good,-4.9765,0.4031,5.3796,8,3
himmelblau,"[2.9952, 1.9948]",0.00181,0.0,0.5,"[-1.7979, 3.0553]",29,good,-1.7979,3.0553,4.8532,7,3
himmelblau,"[-1.12, 0.036]",160.18942,0.001,0.5,"[-1.12, 0.036]",58,bad,-1.12,0.036,1.1560000000000001,0,3
himmelblau,"[2.9939, 2.0254]",0.00941,0.0,0.8,"[-2.3394, 4.3321]",36,good,-2.3394,4.3321,6.6715,10,6
himmelblau,"[-2.8057, 3.1431]",0.00559,0.0,0.7,"[-4.3173, 3.4235]",56,good,-4.3173,3.4235,7.7408,13,5
himmelblau,"[1.3634, 1.3634]",74.76271,0.001,0.6,"[-0.0396, 1.3634]",58,bad,-0.0396,1.3634,1.403,0,4
himmelblau,"[2.6679, 2.1739]",3.07406,0.002,0.6,"[-1.4951, 2.6679]",184,bad,-1.4951,2.6679,4.163,5,4
himmelblau,"[3.594, -1.6419]",0.57985,0.002,0.3,"[-1.6419, 4.6967]",339,bad,-1.6419,4.6967,6.3386,10,1
himmelblau,"[-2.0913, 0.6455]",111.01997,0.0,0.3,"[-2.0913, 0.6455]",75,bad,-2.0913,0.6455,2.7367999999999997,2,1
himmelblau,"[2.2487, -1.3012]",61.8345,0.0013,0.9,"[-3.6504, 2.2487]",200,bad,-3.6504,2.2487,5.8991,9,7
himmelblau,"[2.9887, 2.0048]",0.004,0.0,0.8,"[-0.2221, 4.7058]",87,good,-0.2221,4.7058,4.9279,7,6
himmelblau,"[-1.9227, 3.0986]",18.1392,0.002,0.6,"[-1.9227, 3.8495]",221,bad,-1.9227,3.8495,5.7722,8,4
himmelblau,"[2.115, 2.3625]",17.82482,0.007,0.5,"[-0.3016, 2.5535]",999,good,-0.3016,2.5535,2.8551,2,3
himmelblau,"[-3.7724, -3.2782]",0.00293,0.0,0.5,"[-4.6345, 0.5707]",30,good,-4.6345,0.5707,5.2052,7,3
himmelblau,"[-3.7699, -3.2697]",0.00954,0.0,0.8,"[-4.5982, 0.1473]",112,good,-4.5982,0.1473,4.7455,6,6
himmelblau,"[1.8079, 1.6612]",42.76635,0.003,0.9,"[-2.4188, 1.8079]",293,bad,-2.4188,1.8079,4.2267,5,7
himmelblau,"[3.5791, -1.8683]",0.00825,0.001,0.9,"[-2.3278, 4.7064]",33,good,-2.3278,4.7064,7.0342,11,7
himmelblau,"[2.988, 2.003]",0.0047,0.0,0.8,"[-0.8258, 3.8643]",22,good,-0.8258,3.8643,4.6901,6,6
himmelblau,"[2.9675, 1.9692]",0.07433,0.0035,0.4,"[-3.8661, 2.9675]",454,bad,-3.8661,2.9675,6.8336,11,2
himmelblau,"[1.2183, 1.2183]",87.31394,0.0,0.8,"[-0.3218, 1.2183]",61,bad,-0.3218,1.2183,1.5400999999999998,0,6
himmelblau,"[3.1069, -0.2357]",17.23227,0.001,0.4,"[-1.7878, 3.1069]",212,bad,-1.7878,3.1069,4.8947,7,2
himmelblau,"[-3.7814, -3.2927]",0.00366,0.0,1.0,"[-4.2673, 4.6777]",49,good,-4.2673,4.6777,8.945,14,8
himmelblau,"[-2.2147, 0.0201]",121.81044,0.0015,0.4,"[-2.2147, 0.0201]",65,bad,-2.2147,0.0201,2.2348,1,2
himmelblau,"[-1.8929, 0.1048]",132.35581,0.0,0.4,"[-1.8929, 0.1048]",57,bad,-1.8929,0.1048,1.9977,1,2
himmelblau,"[3.1678, -1.5166]",8.50708,0.001,0.7,"[-3.4413, 3.1678]",240,bad,-3.4413,3.1678,6.6091,10,5
himmelblau,"[2.9713, 2.0544]",0.05043,0.007,0.1,"[-0.4351, 3.2975]",999,good,-0.4351,3.2975,3.7325999999999997,4,0
himmelblau,"[0.1125, 2.7021]",68.81681,0.002,0.1,"[-0.3517, 2.7021]",245,bad,-0.3517,2.7021,3.0538000000000003,2,0
himmelblau,"[-2.3683, 1.8404]",48.38297,0.001,0.3,"[-2.3683, 1.8404]",80,bad,-2.3683,1.8404,4.2087,5,1
himmelblau,"[-3.5917, -3.1424]",2.05765,0.006,0.5,"[-3.5917, 0.3989]",864,bad,-3.5917,0.3989,3.9905999999999997,4,3
