iteration,max_fitness_changes,avg_fitness_changes
0,0.0,0.0
1,28.076271985974877,10.66168279765878
2,13.060567025585375,6.530283512792689
3,13.663383339715825,6.831691669857914
4,19.75926809464549,9.879634047322744
5,8.919820205459839,8.385129604003579
6,10.804715113647756,9.327577058097539
7,15.719813740347352,7.859906870173674
8,1.8965909957365525,0.9482954978682763
9,7.708183740634901,3.8540918703174505
10,20.913760374734498,10.456880187367247
11,2.828696703113909,1.4143483515569564
12,3.5883003147851937,1.7941501573925969
13,16.17046304190272,8.08523152095136
14,18.24094576152703,9.120472880763515
15,1.3108791079530242,0.6554395539765139
16,10.031471826255943,5.015735913127973
17,1.390889397903015,0.8378218597199645
