iteration,max_fitness_changes,avg_fitness_changes
0,0.0,0.0
1,5.435600763381983,374.53384370167737
2,487.8791798411601,243.93958992058006
3,415.33036797875843,207.66518398937922
4,74.39259676307597,37.196298381537986
5,0.19370811326878634,0.09685405663439317
6,1294.3366705244,647.1683352622
7,1285.44116761991,642.720583809955
8,10.201297611822323,5.100648805911161
9,0.025333904941934993,0.012666952470967496
10,0.2684961496493503,0.13424807482467505
11,2.431219377412128,1.215609688706064
12,8.56472041939103,4.282360209695515
13,11.31958271072004,5.65979135536002
14,0.3773890609964381,0.18869453049821905
15,3.3568182976486294,1.6784091488243147
16,1.7540126436877141,0.8770063218438571
17,6.586140830380135,3.293070415190067
18,12.193946308318576,6.096973154159287
19,0.5089587666564783,0.25447938332823916
20,465.25910442114724,232.62955221057362
21,463.90983597943756,231.95491798971878
22,463.28942012434976,231.64471006217488
23,456.31842884882485,228.1592144244124
24,7.696337525065361,3.84816876253268
25,5.344684109884188,2.672342054942094
26,5.235459542958138,2.617729771479069
27,0.7331467590953105,0.36657337954765523
28,1.3833223642550136,0.6916611821275068
29,0.02485989923091636,0.01242994961545818
30,3.878862527659633,1.9394312638298166
31,4.275110378272132,2.1375551891360662
32,8.77928861186055,4.389644305930276
