iteration,max_fitness_changes,avg_fitness_changes
0,0.0,0.0
1,0.3507942533536115,0.17539712667680618
2,0.30894469691248094,0.15447234845624092
3,0.9180610431124023,0.8971362648918371
4,0.1607341949042862,0.1607341949042862
5,0.19840661453439168,0.09920330726719584
6,0.10572014915465289,0.052860074577326444
7,0.46228100136500405,0.31021761952048177
8,0.15154413863795213,0.15154413863795213
