iteration,max_fitness_changes,avg_fitness_changes
0,0.0,0.0
1,25.990323914181932,101.56794749069681
2,25.990323914181932,12.995161957090966
3,94.74703931028411,47.373519655142054
4,27.243448357049118,13.621724178524559
5,110.47606647729032,55.238033238645166
6,134.17054586862068,67.08527293431035
7,131.72372762199228,65.86186381099616
8,44.62661842942816,22.31330921471408
9,36.02389236116895,18.011946180584474
10,135.4760587100867,67.73802935504335
11,5.463730491369066,2.731865245684533
12,11.702708421300311,5.851354210650156
13,12.110836870975941,6.0554184354879705
14,0.917013910072819,0.4585069550364096
