iteration,x,y,best_fitness,execution_time
100,-3.7692,-3.2823,0.0057,0.001
200,-3.7692,-3.2823,0.0057,0.002
300,-3.7692,-3.2823,0.0057,0.003
400,-3.7692,-3.2823,0.0057,0.003
500,-3.7692,-3.2823,0.0057,0.003
600,-3.7692,-3.2823,0.0057,0.004
700,-3.7692,-3.2823,0.0057,0.0049
800,-3.7692,-3.2823,0.0057,0.006
900,-3.7692,-3.2823,0.0057,0.007
1000,-3.7692,-3.2823,0.0057,0.008
