Iterations,Function,Best Solution,Best Fitness,Execution Time (s),Step Size,Domain
900,himmelblau_function,"[-3.7797, -3.2849]",0.0001,0.0056,0.1,"[-3.8171, 0.5622]"
600,himmelblau_function,"[-3.7877, -3.3345]",0.1098,0.004,2.0,"[-9.9774, 5.4528]"
700,himmelblau_function,"[3.4058, -1.9986]",2.1185,0.0057,4.5,"[-9.835, 8.4388]"
800,himmelblau_function,"[3.5314, -1.6624]",0.5336,0.005,8.4,"[-3.4395, 3.9873]"
600,himmelblau_function,"[-2.7628, 3.04]",0.3789,0.004,7.6,"[-8.8885, 6.7021]"
800,himmelblau_function,"[3.0108, 2.0172]",0.0131,0.006,2.6,"[-0.1207, 3.7858]"
600,himmelblau_function,"[-2.2217, 1.2123]",83.6304,0.0034,2.9,"[-2.2217, 1.2123]"
300,himmelblau_function,"[-4.027, -3.4755]",4.1393,0.002,8.2,"[-6.39, 1.6494]"
700,himmelblau_function,"[1.8887, 1.8887]",33.1202,0.004,5.5,"[-1.5508, 1.8887]"
800,three_hump_camel_function,"[0.0472, 0.0085]",0.0049,0.0068,2.6,"[-5.8333, 8.99]"
500,three_hump_camel_function,"[0.0164, -0.1728]",0.0276,0.0026,6.3,"[-7.5552, 4.6342]"
10,three_hump_camel_function,"[1.2327, 1.5204]",5.3852,0.0,9.4,"[-5.7521, 4.5495]"
900,three_hump_camel_function,"[-0.0245, 0.1062]",0.0099,0.0072,5.8,"[-8.8813, 0.5069]"
100,three_hump_camel_function,"[0.1551, -0.0473]",0.0424,0.0005,5.0,"[-4.0865, 8.8621]"
100,three_hump_camel_function,"[1.749, -0.8122]",0.3025,0.0,1.1,"[-5.6958, 6.7651]"
400,three_hump_camel_function,"[1.7734, -0.9678]",0.3093,0.003,5.5,"[-7.6769, 9.3486]"
100,three_hump_camel_function,"[-1.9939, 0.7434]",0.8986,0.001,6.7,"[-4.1659, 8.9312]"
50,three_hump_camel_function,"[1.0909, -3.6094]",10.2643,0.0,9.8,"[-6.5062, 4.2892]"
400,three_hump_camel_function,"[-1.85, 0.7739]",0.3946,0.0025,8.6,"[-3.4921, 2.2019]"
50,three_hump_camel_function,"[0.059, 0.3592]",0.1572,0.001,8.9,"[-5.276, 9.7738]"
10,three_hump_camel_function,"[-1.7744, 0.427]",0.5148,0.001,1.6,"[-4.7415, 4.9036]"
600,three_hump_camel_function,"[-0.0099, -0.0158]",0.0006,0.0051,0.9,"[-3.7843, 9.203]"
900,three_hump_camel_function,"[1.7466, -0.8603]",0.2988,0.007,0.5,"[-8.1448, 9.825]"
300,three_hump_camel_function,"[-0.1418, 0.1717]",0.0449,0.002,4.3,"[-1.9373, 7.1038]"
700,three_hump_camel_function,"[0.0977, 0.1694]",0.0642,0.0052,4.1,"[-9.1953, 1.6383]"
600,three_hump_camel_function,"[-0.0277, 0.0356]",0.0018,0.004,8.8,"[-8.9117, 0.0356]"
50,three_hump_camel_function,"[-0.5214, 1.3589]",1.6076,0.001,6.2,"[-3.0438, 4.191]"
700,three_hump_camel_function,"[0.2444, -0.2744]",0.124,0.004,7.4,"[-9.7764, 9.6069]"
100,three_hump_camel_function,"[-1.8243, 0.8433]",0.3426,0.001,5.8,"[-8.1966, 7.0918]"
50,three_hump_camel_function,"[1.5923, -1.2892]",0.6468,0.0012,8.5,"[-1.2892, 1.5923]"
500,three_hump_camel_function,"[-0.0082, -0.4033]",0.1661,0.004,4.9,"[-0.8128, 3.4678]"
700,three_hump_camel_function,"[0.0407, 0.0062]",0.0036,0.005,2.3,"[-9.1369, 5.0502]"
400,three_hump_camel_function,"[-0.165, -0.2658]",0.1682,0.003,4.1,"[-4.6694, 5.4025]"
800,three_hump_camel_function,"[1.767, -0.2653]",0.683,0.005,9.3,"[-9.4015, 2.2603]"
200,three_hump_camel_function,"[-0.157, -0.0326]",0.0548,0.001,8.1,"[-5.4898, 9.1053]"
10,three_hump_camel_function,"[-2.7139, -6.533]",84.7747,0.0,0.9,"[-7.239, 4.3718]"
600,three_hump_camel_function,"[-1.7137, 0.4952]",0.4357,0.0036,0.2,"[-3.4338, 0.4952]"
200,three_hump_camel_function,"[-0.6003, 0.345]",0.5041,0.002,9.2,"[-5.8, 8.7451]"
1000,three_hump_camel_function,"[1.7384, -0.8819]",0.2993,0.0076,1.0,"[-9.4748, 6.7883]"
700,three_hump_camel_function,"[0.0835, -0.23]",0.0476,0.0045,3.0,"[-5.929, 7.2798]"
50,three_hump_camel_function,"[-0.0409, 0.45]",0.1875,0.0,8.8,"[-0.9553, 0.45]"
800,three_hump_camel_function,"[-0.0844, 0.1479]",0.0236,0.0067,6.0,"[-2.4538, 1.7004]"
1000,three_hump_camel_function,"[0.0245, 0.1058]",0.015,0.008,6.2,"[-1.5519, 1.3965]"
800,three_hump_camel_function,"[-0.0999, 0.0829]",0.0184,0.006,7.7,"[-6.6143, 2.3793]"
100,three_hump_camel_function,"[0.4538, -0.5653]",0.4318,0.0013,9.1,"[-8.7778, 7.3255]"
700,three_hump_camel_function,"[0.2426, -0.4944]",0.2386,0.0056,8.5,"[-8.0042, 5.0731]"
500,three_hump_camel_function,"[-1.7674, 0.8907]",0.3011,0.003,0.5,"[-6.3857, 2.4015]"
400,three_hump_camel_function,"[0.2176, -0.012]",0.0899,0.0024,2.9,"[-1.7529, 1.1305]"
600,three_hump_camel_function,"[-0.1662, -0.0071]",0.0557,0.0037,7.5,"[-9.9269, 5.6741]"
10,three_hump_camel_function,"[1.4967, -0.2108]",0.8137,0.001,8.3,"[-3.3679, 1.4967]"
500,three_hump_camel_function,"[-1.7431, 0.8818]",0.2989,0.004,0.2,"[-6.0784, 9.5195]"
900,three_hump_camel_function,"[0.2256, -0.1566]",0.0883,0.006,9.0,"[-8.7744, 4.5505]"
600,three_hump_camel_function,"[-0.1551, 0.0794]",0.0415,0.0045,2.0,"[-0.3686, 4.1576]"
1000,three_hump_camel_function,"[-0.0605, -0.0106]",0.0081,0.0073,6.0,"[-3.6855, 4.3424]"
100,three_hump_camel_function,"[0.0607, -0.0472]",0.0067,0.001,2.8,"[-2.3295, 5.7556]"
800,three_hump_camel_function,"[-0.2455, -0.1031]",0.1527,0.0057,7.4,"[-9.5902, 8.1478]"
600,three_hump_camel_function,"[0.0461, -0.303]",0.0821,0.0046,6.1,"[-1.7006, 0.5624]"
700,three_hump_camel_function,"[0.0072, -0.0359]",0.0011,0.0047,1.4,"[-4.8209, 6.2079]"
100,three_hump_camel_function,"[0.1197, -0.3223]",0.0937,0.001,5.9,"[-9.9526, 1.9965]"
300,three_hump_camel_function,"[-0.1636, -0.1349]",0.093,0.0012,2.8,"[-8.5673, 1.862]"
200,three_hump_camel_function,"[0.1118, -0.3122]",0.0874,0.0016,8.5,"[-0.3122, 2.0878]"
800,three_hump_camel_function,"[0.1346, 0.1538]",0.0803,0.0055,6.2,"[-7.3081, 2.6529]"
500,three_hump_camel_function,"[0.1374, 0.2458]",0.1316,0.0048,8.1,"[-5.7962, 3.8791]"
900,three_hump_camel_function,"[0.0068, -0.1167]",0.0129,0.0066,6.7,"[-3.106, 6.1033]"
300,three_hump_camel_function,"[0.0746, 0.0864]",0.025,0.002,4.0,"[-3.5679, 2.1904]"
600,three_hump_camel_function,"[0.1842, -0.1873]",0.0672,0.0046,5.3,"[-7.2082, 7.6494]"
300,three_hump_camel_function,"[-1.8007, 0.9505]",0.3192,0.002,7.9,"[-7.4262, 2.4756]"
400,three_hump_camel_function,"[-0.0656, -0.1077]",0.0273,0.003,3.8,"[-1.1557, 8.145]"
200,three_hump_camel_function,"[0.0255, 0.0157]",0.002,0.001,1.0,"[-4.4468, 8.0412]"
700,three_hump_camel_function,"[0.0268, 0.0249]",0.0027,0.0045,4.4,"[-5.0315, 3.7213]"
10,three_hump_camel_function,"[1.7372, -1.0638]",0.3373,0.0,2.1,"[-2.0607, 4.4717]"
300,three_hump_camel_function,"[0.0062, -0.4475]",0.1975,0.002,6.5,"[-9.3409, 3.4147]"
700,three_hump_camel_function,"[0.1634, 0.1393]",0.0948,0.0055,9.0,"[-5.3635, 0.4581]"
200,three_hump_camel_function,"[0.1535, -0.1339]",0.0439,0.001,3.3,"[-1.8231, 6.6613]"
900,three_hump_camel_function,"[-0.0836, 0.0291]",0.0123,0.0066,3.7,"[-4.5101, 0.1194]"
900,three_hump_camel_function,"[0.0095, -0.0011]",0.0002,0.0067,2.4,"[-9.8349, 6.1868]"
400,three_hump_camel_function,"[-0.0755, -0.1954]",0.0643,0.0033,5.4,"[-1.2183, 6.0758]"
200,three_hump_camel_function,"[-0.2747, 0.3883]",0.1892,0.0015,8.5,"[-7.7717, 3.5879]"
1000,three_hump_camel_function,"[-1.757, 0.8804]",0.2992,0.0072,0.4,"[-7.2879, 8.0531]"
600,three_hump_camel_function,"[1.6389, -0.8151]",0.3549,0.004,6.9,"[-8.0864, 1.6389]"
700,three_hump_camel_function,"[-0.0432, 0.0234]",0.0033,0.0061,1.0,"[-4.9138, 4.5588]"
300,three_hump_camel_function,"[0.2189, -0.0421]",0.086,0.0025,4.1,"[-4.3326, 1.2263]"
800,three_hump_camel_function,"[0.4168, -0.2926]",0.2803,0.0064,6.4,"[-5.2241, 5.3539]"
1000,three_hump_camel_function,"[-0.2326, 0.2104]",0.1005,0.0077,9.7,"[-8.0603, 7.5538]"
100,three_hump_camel_function,"[-1.8957, 1.0271]",0.47,0.001,7.0,"[-8.863, 7.2365]"
300,three_hump_camel_function,"[0.3254, -0.2286]",0.1781,0.002,7.5,"[-8.4163, 4.7077]"
200,three_hump_camel_function,"[-0.1205, -0.0077]",0.0298,0.0026,2.8,"[-2.5819, 9.8366]"
10,three_hump_camel_function,"[0.2057, -0.3052]",0.1131,0.001,8.4,"[-6.9558, 0.2057]"
200,three_hump_camel_function,"[1.7582, -0.9343]",0.3024,0.001,0.7,"[-9.8557, 5.8875]"
700,three_hump_camel_function,"[1.7993, -1.1859]",0.3976,0.0055,9.2,"[-6.2943, 6.7993]"
1000,three_hump_camel_function,"[-0.018, 0.082]",0.0059,0.008,1.0,"[-9.7047, 2.295]"
100,three_hump_camel_function,"[0.2013, 0.0285]",0.0859,0.002,2.2,"[-9.7325, 8.4322]"
700,three_hump_camel_function,"[-0.1319, -0.2079]",0.1051,0.006,5.6,"[-5.7263, 3.2658]"
100,three_hump_camel_function,"[-1.5151, 2.301]",2.8825,0.001,6.3,"[-6.5863, 9.8419]"
300,three_hump_camel_function,"[0.1423, -0.3411]",0.1079,0.0023,8.5,"[-0.3411, 9.6005]"
900,three_hump_camel_function,"[0.0511, 0.0594]",0.0118,0.0075,5.4,"[-7.1098, 3.7403]"
10,three_hump_camel_function,"[-0.1732, -6.6974]",46.0751,0.0,5.5,"[-8.5321, 3.5696]"
800,three_hump_camel_function,"[-0.0949, 0.2859]",0.0725,0.0065,8.2,"[-1.7668, 6.7571]"
700,three_hump_camel_function,"[0.2394, -0.0347]",0.1041,0.005,5.1,"[-3.3164, 3.5579]"
200,three_hump_camel_function,"[0.1052, -0.6167]",0.3374,0.002,8.9,"[-8.1014, 3.8325]"
200,three_hump_camel_function,"[1.8055, -1.3351]",0.5072,0.003,7.1,"[-1.3351, 2.3574]"
100,three_hump_camel_function,"[0.2774, -0.5433]",0.2923,0.001,5.5,"[-0.5433, 5.7154]"
700,three_hump_camel_function,"[0.2479, -0.1944]",0.1086,0.005,6.6,"[-6.1041, 6.3946]"
300,three_hump_camel_function,"[-0.1363, 0.2261]",0.0571,0.004,6.8,"[-5.8761, 8.0035]"
1000,three_hump_camel_function,"[-0.1133, -0.3255]",0.1683,0.0071,8.6,"[-8.0023, 0.7366]"
50,three_hump_camel_function,"[0.0902, -0.2085]",0.0409,0.0,0.1,"[-1.0629, 1.256]"
600,three_hump_camel_function,"[-0.3372, 0.5225]",0.3109,0.0042,6.0,"[-7.979, 7.4307]"
100,three_hump_camel_function,"[-0.0857, -0.1599]",0.0539,0.0,3.8,"[-9.9659, 2.9921]"
1000,three_hump_camel_function,"[0.0612, -0.3876]",0.134,0.0086,8.9,"[-6.9145, 1.967]"
100,three_hump_camel_function,"[-1.7721, 0.784]",0.3127,0.0,6.1,"[-1.7721, 6.2805]"
300,three_hump_camel_function,"[0.1706, -0.4366]",0.1734,0.0028,8.5,"[-8.4346, 8.5497]"
600,three_hump_camel_function,"[-0.3823, -0.0834]",0.3093,0.005,5.6,"[-8.7973, 0.7135]"
700,three_hump_camel_function,"[-0.0565, 0.0058]",0.0061,0.0045,2.8,"[-8.2539, 0.9405]"
300,three_hump_camel_function,"[-0.2524, 0.089]",0.1086,0.002,2.9,"[-2.9708, 3.7168]"
300,three_hump_camel_function,"[-0.054, 0.1182]",0.0134,0.002,3.6,"[-8.0158, 9.9083]"
500,three_hump_camel_function,"[-0.0173, -0.0013]",0.0006,0.003,1.6,"[-4.0455, 4.649]"
50,three_hump_camel_function,"[-0.2335, 0.6341]",0.36,0.0,3.6,"[-4.5323, 3.2317]"
1000,three_hump_camel_function,"[-0.0115, 0.1589]",0.0237,0.0084,4.9,"[-1.7012, 4.9579]"
50,three_hump_camel_function,"[-0.0054, -0.3395]",0.1171,0.0,6.1,"[-3.2499, 8.4448]"
200,three_hump_camel_function,"[-0.0079, 0.031]",0.0008,0.002,0.4,"[-8.1532, 3.9598]"
300,three_hump_camel_function,"[0.3429, -0.6138]",0.3872,0.003,7.4,"[-2.2699, 1.0038]"
800,three_hump_camel_function,"[0.0234, -0.0837]",0.0061,0.007,1.7,"[-3.0974, 6.207]"
600,three_hump_camel_function,"[0.0531, -0.0795]",0.0077,0.005,2.8,"[-5.6238, 9.8303]"
700,three_hump_camel_function,"[0.014, 0.2283]",0.0557,0.0055,3.6,"[-9.7006, 7.8888]"
800,three_hump_camel_function,"[-0.0685, -0.0109]",0.0102,0.006,2.1,"[-2.7603, 0.6185]"
400,three_hump_camel_function,"[-0.2566, -0.067]",0.1488,0.003,7.2,"[-4.9241, 1.4243]"
900,three_hump_camel_function,"[0.1567, -0.1718]",0.0511,0.0066,4.7,"[-7.6169, 2.5948]"
100,three_hump_camel_function,"[0.224, -0.1694]",0.0885,0.001,2.5,"[-3.3034, 7.0016]"
400,three_hump_camel_function,"[0.1182, 0.4671]",0.3011,0.003,8.1,"[-9.367, 6.6632]"
600,three_hump_camel_function,"[0.0309, -0.1076]",0.0102,0.005,1.5,"[-5.0812, 2.4448]"
300,three_hump_camel_function,"[-0.0403, -0.0604]",0.0093,0.0025,4.5,"[-9.6234, 1.0475]"
500,three_hump_camel_function,"[0.0099, 0.0414]",0.0023,0.0038,1.5,"[-0.5454, 5.5372]"
600,three_hump_camel_function,"[0.1157, -0.1426]",0.0304,0.004,2.0,"[-6.7313, 2.9306]"
200,three_hump_camel_function,"[0.0939, -0.1202]",0.0207,0.001,1.1,"[-1.188, 8.2957]"
700,three_hump_camel_function,"[1.6629, -0.0485]",0.9474,0.0055,0.4,"[-0.0485, 7.3023]"
400,three_hump_camel_function,"[0.1265, 0.0222]",0.0351,0.003,6.8,"[-6.6216, 5.8207]"
50,three_hump_camel_function,"[-0.3896, 1.2197]",1.2925,0.0,8.6,"[-7.0232, 4.8655]"
700,three_hump_camel_function,"[0.1877, -0.4097]",0.1601,0.0055,5.1,"[-4.2747, 8.4677]"
100,three_hump_camel_function,"[0.088, 0.0505]",0.0224,0.001,5.6,"[-4.8515, 3.0052]"
200,three_hump_camel_function,"[-0.0721, -0.1107]",0.0306,0.0015,7.3,"[-6.2677, 7.5845]"
900,three_hump_camel_function,"[-0.063, 0.3196]",0.09,0.0075,4.9,"[-3.7475, 1.4212]"
600,three_hump_camel_function,"[-0.0018, -0.0563]",0.0033,0.005,1.1,"[-0.6769, 2.178]"
900,three_hump_camel_function,"[-0.0976, 0.3768]",0.1241,0.0063,6.0,"[-7.0104, 9.8779]"
300,three_hump_camel_function,"[0.017, -0.4643]",0.2083,0.002,8.1,"[-5.6957, 3.4304]"
600,three_hump_camel_function,"[0.2505, -0.3958]",0.1789,0.0057,8.3,"[-5.6916, 1.0573]"
300,three_hump_camel_function,"[0.0053, -0.001]",0.0001,0.004,5.7,"[-3.9614, 9.3048]"
900,three_hump_camel_function,"[-0.0223, 0.0577]",0.003,0.0068,6.0,"[-4.7397, 0.0577]"
700,three_hump_camel_function,"[0.0506, -0.0384]",0.0046,0.0066,1.7,"[-1.7372, 7.8245]"
300,three_hump_camel_function,"[-0.3736, 0.4292]",0.283,0.0021,6.5,"[-5.5442, 4.3053]"
50,three_hump_camel_function,"[-0.0395, 0.5508]",0.2847,0.0,5.4,"[-9.4906, 0.5508]"
300,three_hump_camel_function,"[-0.0151, -0.0356]",0.0023,0.002,0.5,"[-0.9771, 0.8736]"
300,three_hump_camel_function,"[0.0289, -0.0806]",0.0058,0.002,2.2,"[-0.6106, 2.8973]"
200,three_hump_camel_function,"[-0.1067, 0.2712]",0.0673,0.001,3.5,"[-4.4889, 0.2712]"
600,three_hump_camel_function,"[-0.3785, 0.5077]",0.331,0.0051,8.5,"[-8.4725, 8.4763]"
400,three_hump_camel_function,"[-0.0131, 0.1562]",0.0227,0.003,1.4,"[-6.5592, 5.0226]"
50,three_hump_camel_function,"[-0.3216, -0.1714]",0.2803,0.0,2.4,"[-7.6692, 3.9727]"
1000,three_hump_camel_function,"[-0.0362, 0.0814]",0.0063,0.0075,2.6,"[-1.7207, 7.6647]"
100,three_hump_camel_function,"[-1.5192, 1.2662]",0.7516,0.001,7.2,"[-2.1847, 9.4944]"
50,three_hump_camel_function,"[2.0369, -1.3827]",1.2222,0.0,8.0,"[-9.6496, 5.9441]"
800,three_hump_camel_function,"[0.0806, -0.0144]",0.012,0.0075,7.2,"[-9.5829, 8.7586]"
10,three_hump_camel_function,"[-0.6988, -0.6987]",1.722,0.0001,8.9,"[-0.6988, 2.3789]"
900,three_hump_camel_function,"[-0.0163, 0.0044]",0.0005,0.0079,3.7,"[-3.6687, 3.7813]"
100,three_hump_camel_function,"[0.2967, -0.1956]",0.1483,0.001,3.2,"[-3.848, 3.7117]"
500,three_hump_camel_function,"[-0.1659, 0.3562]",0.122,0.0035,6.5,"[-8.3188, 2.8027]"
400,three_hump_camel_function,"[-0.018, -0.2879]",0.0887,0.003,9.8,"[-0.2879, 6.3863]"
800,three_hump_camel_function,"[-0.0971, 0.3053]",0.0823,0.006,9.5,"[-3.2893, 7.6187]"
500,three_hump_camel_function,"[-0.048, 0.0069]",0.0043,0.004,1.2,"[-7.609, 3.6406]"
600,three_hump_camel_function,"[-0.0471, -0.1493]",0.0337,0.004,6.4,"[-3.6866, 1.5119]"
100,three_hump_camel_function,"[0.0808, 0.0489]",0.0194,0.001,7.4,"[-5.637, 8.4659]"
50,three_hump_camel_function,"[1.8059, -0.6985]",0.3624,0.0,3.8,"[-1.3318, 7.7138]"
600,three_hump_camel_function,"[0.1199, -0.031]",0.0258,0.0046,3.5,"[-8.8288, 1.3978]"
100,three_hump_camel_function,"[-1.7384, 0.7823]",0.3067,0.001,0.7,"[-9.3656, 4.1509]"
200,three_hump_camel_function,"[1.7235, -0.8872]",0.3025,0.001,0.5,"[-1.0753, 7.0842]"
400,three_hump_camel_function,"[-0.0777, 0.2436]",0.0524,0.0031,3.7,"[-0.478, 6.8337]"
300,three_hump_camel_function,"[0.0538, -0.5395]",0.2678,0.002,5.3,"[-1.802, 2.7174]"
100,three_hump_camel_function,"[0.2798, -0.6053]",0.3472,0.0011,9.7,"[-0.9106, 6.823]"
400,three_hump_camel_function,"[-0.0264, 0.3204]",0.0956,0.002,7.7,"[-2.169, 1.479]"
700,three_hump_camel_function,"[0.1242, -0.1495]",0.0344,0.0054,8.8,"[-3.5262, 9.7493]"
100,three_hump_camel_function,"[1.86, -0.4984]",0.5745,0.0011,9.6,"[-4.3335, 2.6095]"
400,three_hump_camel_function,"[-0.056, 0.0926]",0.0096,0.003,6.2,"[-8.8683, 9.7312]"
300,three_hump_camel_function,"[-0.0559, -0.1064]",0.0235,0.0024,2.4,"[-8.3626, 1.5305]"
600,three_hump_camel_function,"[-0.1173, 0.13]",0.029,0.005,2.6,"[-3.7476, 1.5134]"
50,three_hump_camel_function,"[1.8288, -0.7206]",0.3805,0.001,8.5,"[-0.7206, 8.2742]"
10,three_hump_camel_function,"[-1.0451, 5.3428]",24.1108,0.0,2.5,"[-9.8732, 9.2106]"
600,three_hump_camel_function,"[0.1958, 0.0786]",0.0967,0.004,7.4,"[-6.6149, 4.7151]"
500,three_hump_camel_function,"[0.0748, 0.1667]",0.0514,0.0045,5.4,"[-3.6653, 7.2678]"
800,three_hump_camel_function,"[-0.1139, -0.2192]",0.0988,0.0067,9.7,"[-1.8855, 5.1747]"
300,three_hump_camel_function,"[-0.107, 0.4039]",0.1427,0.002,9.2,"[-3.0183, 4.5624]"
200,three_hump_camel_function,"[-0.0782, -0.1597]",0.0502,0.002,1.6,"[-0.9919, 9.9348]"
900,three_hump_camel_function,"[0.02, 0.0563]",0.0051,0.0066,1.2,"[-1.9183, 0.1146]"
300,three_hump_camel_function,"[-0.1781, 0.0619]",0.0552,0.002,8.3,"[-4.7429, 2.6512]"
50,three_hump_camel_function,"[1.8931, -0.0692]",1.227,0.0,8.0,"[-4.242, 9.7565]"
100,three_hump_camel_function,"[-1.6789, 0.0754]",0.9066,0.001,0.5,"[-5.5698, 0.0754]"
600,three_hump_camel_function,"[-0.2856, -0.1081]",0.1988,0.005,8.8,"[-5.3681, 3.1713]"
600,three_hump_camel_function,"[0.0673, -0.0302]",0.0079,0.0045,4.7,"[-1.4175, 9.8172]"
10,three_hump_camel_function,"[1.5093, -0.6746]",0.5143,0.001,2.2,"[-1.9001, 4.5957]"
400,three_hump_camel_function,"[0.1479, 0.3118]",0.1866,0.003,4.1,"[-4.6941, 9.7079]"
500,three_hump_camel_function,"[-0.594, 0.0147]",0.5737,0.004,7.2,"[-8.9964, 5.914]"
700,three_hump_camel_function,"[-0.0438, 0.0409]",0.0037,0.006,4.5,"[-1.675, 6.0264]"
50,three_hump_camel_function,"[0.3643, -0.6481]",0.4312,0.001,3.4,"[-2.9881, 9.5168]"
100,three_hump_camel_function,"[0.3024, -0.4446]",0.2374,0.0,2.3,"[-5.7908, 8.7478]"
400,three_hump_camel_function,"[-0.0335, 0.117]",0.012,0.003,8.6,"[-9.3706, 0.9811]"
200,three_hump_camel_function,"[-0.0889, 0.0524]",0.0138,0.001,0.9,"[-5.7277, 0.2362]"
800,three_hump_camel_function,"[-0.0726, -0.0779]",0.0222,0.0065,2.6,"[-9.3319, 6.2761]"
300,three_hump_camel_function,"[-1.8238, 0.9521]",0.339,0.002,10.0,"[-4.2302, 0.9521]"
100,three_hump_camel_function,"[0.1486, -0.4303]",0.1649,0.0005,6.7,"[-8.2726, 2.0772]"
400,three_hump_camel_function,"[0.1295, 0.1727]",0.0854,0.0026,7.5,"[-5.3294, 3.3747]"
100,three_hump_camel_function,"[-0.8589, -0.6027]",1.8517,0.001,0.1,"[-6.8557, 0.9899]"
50,three_hump_camel_function,"[0.1336, -0.9009]",0.7267,0.0,9.3,"[-8.9383, 7.7046]"
