Function,Iterations,Best Solution,Best Fitness,Execution Time (s),Step Size,Domain
three_hump_camel_function,700,"[0.0569, -0.2681]",0.0631,0.005,2.8,"[-8.2539, 0.9405]"
three_hump_camel_function,300,"[-0.176, 0.197]",0.0651,0.002,2.9,"[-2.9708, 3.7168]"
three_hump_camel_function,300,"[-0.069, -0.0847]",0.0225,0.002,3.6,"[-8.0158, 9.9083]"
three_hump_camel_function,500,"[-0.0674, 0.1143]",0.0144,0.0046,1.6,"[-4.0455, 4.649]"
three_hump_camel_function,50,"[1.791, -0.5921]",0.4025,0.001,3.6,"[-4.5323, 3.2317]"
three_hump_camel_function,1000,"[-0.0308, 0.0956]",0.0081,0.0076,4.9,"[-1.7012, 4.9579]"
three_hump_camel_function,50,"[0.1598, 0.2804]",0.1738,0.0005,6.1,"[-3.2499, 8.4448]"
three_hump_camel_function,200,"[0.0164, -0.0247]",0.0007,0.001,0.4,"[-8.1532, 3.9598]"
three_hump_camel_function,300,"[-1.8014, 0.8615]",0.3188,0.0023,7.4,"[-2.2699, 1.0038]"
three_hump_camel_function,800,"[0.0382, 0.1205]",0.022,0.0065,1.7,"[-3.0974, 6.207]"
three_hump_camel_function,600,"[0.1099, -0.1347]",0.0274,0.0045,2.8,"[-5.6238, 9.8303]"
three_hump_camel_function,700,"[0.0729, 0.008]",0.0113,0.006,3.6,"[-9.7006, 7.8888]"
three_hump_camel_function,800,"[0.0482, 0.0109]",0.0053,0.0061,2.1,"[-2.7603, 0.6185]"
three_hump_camel_function,400,"[-0.1016, 0.4343]",0.165,0.0059,7.2,"[-4.9241, 1.4243]"
three_hump_camel_function,900,"[0.1044, 0.1796]",0.0727,0.0075,4.7,"[-7.6169, 2.5948]"
three_hump_camel_function,100,"[0.3007, -0.3983]",0.2113,0.001,2.5,"[-3.3034, 7.0016]"
three_hump_camel_function,400,"[-0.2188, 0.2563]",0.1029,0.003,8.1,"[-9.367, 6.6632]"
three_hump_camel_function,600,"[-0.0655, -0.0084]",0.0092,0.0045,1.5,"[-5.0812, 2.4448]"
three_hump_camel_function,300,"[0.1159, 0.0108]",0.028,0.002,4.5,"[-9.6234, 1.0475]"
three_hump_camel_function,500,"[-0.009, -0.1082]",0.0128,0.0043,1.5,"[-0.5454, 5.5372]"
three_hump_camel_function,600,"[0.0277, -0.0087]",0.0014,0.0046,2.0,"[-6.7313, 2.9306]"
three_hump_camel_function,200,"[0.0248, -0.014]",0.0011,0.002,1.1,"[-1.188, 8.2957]"
three_hump_camel_function,700,"[-0.0101, 0.0206]",0.0004,0.005,0.4,"[-0.0485, 7.3023]"
three_hump_camel_function,400,"[-0.349, -0.0555]",0.2508,0.0025,6.8,"[-6.6216, 5.8207]"
three_hump_camel_function,50,"[-1.7705, 0.9584]",0.3072,0.001,8.6,"[-7.0232, 4.8655]"
three_hump_camel_function,700,"[0.1548, 0.0904]",0.0695,0.0055,5.1,"[-4.2747, 8.4677]"
three_hump_camel_function,100,"[0.1709, -0.3875]",0.1415,0.0,5.6,"[-4.8515, 3.0052]"
three_hump_camel_function,200,"[1.7795, -1.1854]",0.3923,0.002,7.3,"[-6.2677, 7.5845]"
three_hump_camel_function,900,"[0.1016, 0.0053]",0.0211,0.0073,4.9,"[-3.7475, 1.4212]"
three_hump_camel_function,600,"[-0.0302, 0.0343]",0.002,0.0045,1.1,"[-0.6769, 2.178]"
three_hump_camel_function,900,"[-0.2086, -0.0866]",0.1106,0.0076,6.0,"[-7.0104, 9.8779]"
three_hump_camel_function,300,"[0.1691, -0.17]",0.0565,0.003,8.1,"[-5.6957, 3.4304]"
three_hump_camel_function,600,"[0.1456, 0.3693]",0.2321,0.004,8.3,"[-5.6916, 1.0573]"
three_hump_camel_function,300,"[-0.1684, 0.4618]",0.1914,0.003,5.7,"[-3.9614, 9.3048]"
three_hump_camel_function,900,"[-0.0156, 0.0577]",0.0029,0.0076,6.0,"[-4.7397, 0.0577]"
three_hump_camel_function,700,"[0.0075, -0.0535]",0.0026,0.0096,1.7,"[-1.7372, 7.8245]"
three_hump_camel_function,300,"[-0.2271, 0.4916]",0.2304,0.0025,6.5,"[-5.5442, 4.3053]"
three_hump_camel_function,50,"[0.3106, -0.4524]",0.2475,0.0,5.4,"[-9.4906, 0.5508]"
three_hump_camel_function,300,"[-0.0121, 0.0225]",0.0005,0.0022,0.5,"[-0.9771, 0.8736]"
three_hump_camel_function,300,"[0.0116, -0.121]",0.0135,0.002,2.2,"[-0.6106, 2.8973]"
three_hump_camel_function,200,"[-0.0272, 0.0533]",0.0029,0.002,3.5,"[-4.4889, 0.2712]"
three_hump_camel_function,600,"[0.3301, -0.0946]",0.1834,0.004,8.5,"[-8.4725, 8.4763]"
three_hump_camel_function,400,"[0.0252, -0.028]",0.0013,0.003,1.4,"[-6.5592, 5.0226]"
three_hump_camel_function,50,"[0.3818, -0.2564]",0.2376,0.001,2.4,"[-7.6692, 3.9727]"
three_hump_camel_function,1000,"[-0.0578, -0.055]",0.0129,0.0069,2.6,"[-1.7207, 7.6647]"
three_hump_camel_function,100,"[-0.4685, 0.6509]",0.5089,0.0,7.2,"[-2.1847, 9.4944]"
three_hump_camel_function,50,"[1.0626, -0.6964]",0.9045,0.001,8.0,"[-9.6496, 5.9441]"
three_hump_camel_function,800,"[0.0879, 0.255]",0.1029,0.0055,7.2,"[-9.5829, 8.7586]"
three_hump_camel_function,10,"[-0.6239, -0.4974]",1.187,0.0015,8.9,"[-0.6988, 2.3789]"
three_hump_camel_function,900,"[0.0442, -0.1902]",0.0317,0.0065,3.7,"[-3.6687, 3.7813]"
three_hump_camel_function,100,"[-0.1239, 0.5038]",0.2218,0.001,3.2,"[-3.848, 3.7117]"
three_hump_camel_function,500,"[-0.2617, 0.3318]",0.1554,0.004,6.5,"[-8.3188, 2.8027]"
three_hump_camel_function,400,"[0.0911, -0.2879]",0.0732,0.0026,9.8,"[-0.2879, 6.3863]"
three_hump_camel_function,800,"[-0.0637, 0.0957]",0.0112,0.0055,9.5,"[-3.2893, 7.6187]"
three_hump_camel_function,500,"[0.0318, 0.087]",0.0124,0.0037,1.2,"[-7.609, 3.6406]"
three_hump_camel_function,600,"[0.0534, -0.1916]",0.0322,0.0039,6.4,"[-3.6866, 1.5119]"
three_hump_camel_function,100,"[-0.367, -0.4772]",0.6536,0.0,7.4,"[-5.637, 8.4659]"
three_hump_camel_function,50,"[-0.3196, 0.1482]",0.1681,0.001,3.8,"[-1.3318, 7.7138]"
three_hump_camel_function,600,"[0.0777, -0.0976]",0.014,0.004,3.5,"[-8.8288, 1.3978]"
three_hump_camel_function,100,"[1.8303, -1.0144]",0.3547,0.001,0.7,"[-9.3656, 4.1509]"
three_hump_camel_function,200,"[1.7663, -0.8021]",0.3073,0.0016,0.5,"[-1.0753, 7.0842]"
three_hump_camel_function,400,"[-0.0541, 0.2872]",0.0728,0.0025,3.7,"[-0.478, 6.8337]"
three_hump_camel_function,300,"[0.0902, 0.1479]",0.0514,0.003,5.3,"[-1.802, 2.7174]"
three_hump_camel_function,100,"[1.7024, -0.9106]",0.3131,0.0005,9.7,"[-0.9106, 6.823]"
three_hump_camel_function,400,"[0.1672, 0.251]",0.16,0.002,7.7,"[-2.169, 1.479]"
three_hump_camel_function,700,"[-0.0621, -0.1701]",0.0472,0.0056,8.8,"[-3.5262, 9.7493]"
three_hump_camel_function,100,"[0.5769, 0.6294]",1.3149,0.0016,9.6,"[-4.3335, 2.6095]"
three_hump_camel_function,400,"[-0.4588, 0.2131]",0.3237,0.003,6.2,"[-8.8683, 9.7312]"
three_hump_camel_function,300,"[0.0733, 0.2694]",0.1031,0.0016,2.4,"[-8.3626, 1.5305]"
three_hump_camel_function,600,"[0.0563, -0.0589]",0.0065,0.0041,2.6,"[-3.7476, 1.5134]"
three_hump_camel_function,50,"[-0.7206, 0.0928]",0.7205,0.0,8.5,"[-0.7206, 8.2742]"
three_hump_camel_function,10,"[1.366, -2.7041]",4.7771,0.0,2.5,"[-9.8732, 9.2106]"
three_hump_camel_function,600,"[-0.0104, 0.2007]",0.0384,0.0041,7.4,"[-6.6149, 4.7151]"
three_hump_camel_function,500,"[-0.0637, 0.1498]",0.021,0.004,5.4,"[-3.6653, 7.2678]"
three_hump_camel_function,800,"[0.1545, -0.2983]",0.0901,0.006,9.7,"[-1.8855, 5.1747]"
three_hump_camel_function,300,"[0.0549, -0.292]",0.0753,0.002,9.2,"[-3.0183, 4.5624]"
three_hump_camel_function,200,"[0.0721, -0.1265]",0.0173,0.001,1.6,"[-0.9919, 9.9348]"
three_hump_camel_function,900,"[-0.0226, 0.0503]",0.0024,0.0065,1.2,"[-1.9183, 0.1146]"
three_hump_camel_function,300,"[-1.3731, 0.6899]",0.684,0.0029,8.3,"[-4.7429, 2.6512]"
three_hump_camel_function,50,"[-2.1889, 1.1469]",2.6154,0.001,8.0,"[-4.242, 9.7565]"
three_hump_camel_function,100,"[-0.0264, 0.0754]",0.0051,0.0,0.5,"[-5.5698, 0.0754]"
three_hump_camel_function,600,"[0.1924, 0.1461]",0.1221,0.0046,8.8,"[-5.3681, 3.1713]"
three_hump_camel_function,600,"[-0.1855, -0.011]",0.0697,0.005,4.7,"[-1.4175, 9.8172]"
three_hump_camel_function,10,"[0.0583, -0.3037]",0.0813,0.0,2.2,"[-1.9001, 4.5957]"
three_hump_camel_function,400,"[-0.2663, 0.2068]",0.1243,0.0025,4.1,"[-4.6941, 9.7079]"
three_hump_camel_function,500,"[-0.0864, 0.6475]",0.3782,0.0035,7.2,"[-8.9964, 5.914]"
three_hump_camel_function,700,"[0.1269, -0.1922]",0.0445,0.0056,4.5,"[-1.675, 6.0264]"
three_hump_camel_function,50,"[-0.1489, 0.4451]",0.1756,0.0,3.4,"[-2.9881, 9.5168]"
three_hump_camel_function,100,"[0.2831, -0.1812]",0.1352,0.001,2.3,"[-5.7908, 8.7478]"
three_hump_camel_function,400,"[-1.758, 0.9811]",0.3097,0.0032,8.6,"[-9.3706, 0.9811]"
three_hump_camel_function,200,"[-0.0222, 0.1023]",0.0092,0.002,0.9,"[-5.7277, 0.2362]"
three_hump_camel_function,800,"[-0.0994, 0.0777]",0.018,0.006,2.6,"[-9.3319, 6.2761]"
three_hump_camel_function,300,"[-0.2725, 0.0839]",0.127,0.002,10.0,"[-4.2302, 0.9521]"
three_hump_camel_function,100,"[-0.3986, 0.6475]",0.4531,0.001,6.7,"[-8.2726, 2.0772]"
three_hump_camel_function,400,"[0.0811, 0.0654]",0.0227,0.003,7.5,"[-5.3294, 3.3747]"
three_hump_camel_function,100,"[-2.9317, -2.3602]",57.9355,0.001,0.1,"[-6.8557, 0.9899]"
three_hump_camel_function,50,"[1.6503, 0.596]",2.3643,0.0,9.3,"[-8.9383, 7.7046]"
